contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Expiration_date
IBIT241220C00030000,2024-11-22 20:58:37+00:00,30.0,26.7,26.6,26.9,0.5700016,2.181407,170.0,624.0,1.3281283593749997,True,REGULAR,USD,2024-12-20
IBIT241220C00036000,2024-11-21 14:34:42+00:00,36.0,19.4,20.7,20.9,0.0,0.0,2.0,5.0,1.0293017285156252,True,REGULAR,USD,2024-12-20
IBIT241220C00037000,2024-11-19 18:49:06+00:00,37.0,17.0,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2024-12-20
IBIT241220C00038000,2024-11-21 17:45:27+00:00,38.0,18.2,18.7,19.0,0.0,0.0,4.0,10.0,0.956055126953125,True,REGULAR,USD,2024-12-20
IBIT241220C00040000,2024-11-22 20:42:42+00:00,40.0,16.82,16.8,17.0,-0.030000687,-0.17804562,47.0,152.0,0.8808605664062499,True,REGULAR,USD,2024-12-20
IBIT241220C00042000,2024-11-21 15:41:57+00:00,42.0,13.25,14.8,15.1,0.0,0.0,2.0,13.0,0.8037129003906249,True,REGULAR,USD,2024-12-20
IBIT241220C00043000,2024-11-21 14:36:02+00:00,43.0,12.9,13.9,14.1,0.0,0.0,4.0,10.0,0.7749045947265626,True,REGULAR,USD,2024-12-20
IBIT241220C00044000,2024-11-21 14:38:57+00:00,44.0,13.1,12.9,13.2,1.6000004,13.913048,1.0,8.0,0.74414318359375,True,REGULAR,USD,2024-12-20
IBIT241220C00045000,2024-11-22 20:39:45+00:00,45.0,12.02,12.0,12.3,0.32000065,2.7350483,247.0,621.0,0.72851833984375,True,REGULAR,USD,2024-12-20
IBIT241220C00046000,2024-11-22 17:57:20+00:00,46.0,11.21,11.1,11.4,0.21000004,1.9090914,6.0,76.0,0.7084990087890625,True,REGULAR,USD,2024-12-20
IBIT241220C00047000,2024-11-22 19:14:17+00:00,47.0,10.48,10.3,10.5,0.47999954,4.7999954,8.0,106.0,0.6987334814453126,True,REGULAR,USD,2024-12-20
IBIT241220C00048000,2024-11-22 18:23:11+00:00,48.0,9.52,9.4,9.6,0.42000008,4.615385,20.0,90.0,0.6704134521484376,True,REGULAR,USD,2024-12-20
